id,end_of_turn,halfturn,team,played,fen,win,draw,loss,outcome
7511,2024-10-04T10:00:10.642Z,216,black,a5b6,1k6/4Q3/1K6/8/8/8/8/8 b - - 14 108,1.0,0.0,0.0,
7512,2024-10-04T10:07:40.654Z,217,white,b8a8,k7/4Q3/1K6/8/8/8/8/8 w - - 15 109,1.0,0.0,0.0,
7513,2024-10-04T10:15:10.668Z,218,black,e7b7,k7/1Q6/1K6/8/8/8/8/8 b - - 16 109,1.0,0.0,0.0,WHITE_WIN_BY_CHECKMATE
7514,2024-10-04T10:22:40.682Z,1,white,,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,,,,
7515,2024-10-04T10:30:10.701Z,2,black,c2c3,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1,0.007,0.99,0.003,
7516,2024-10-04T10:37:40.761Z,3,white,e7e5,rnbqkbnr/pppp1ppp/8/4p3/8/2P5/PP1PPPPP/RNBQKBNR w KQkq - 0 2,0.005,0.99,0.005,
7517,2024-10-04T10:45:10.825Z,4,black,g1f3,rnbqkbnr/pppp1ppp/8/4p3/8/2P2N2/PP1PPPPP/RNBQKB1R b KQkq - 1 2,0.0,0.914,0.086,
7518,2024-10-04T10:52:40.889Z,5,white,a7a6,rnbqkbnr/1ppp1ppp/p7/4p3/8/2P2N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,0.927,0.073,0.0,
7519,2024-10-04T11:00:10.975Z,6,black,h2h4,rnbqkbnr/1ppp1ppp/p7/4p3/7P/2P2N2/PP1PPPP1/RNBQKB1R b KQkq - 0 3,0.0,0.838,0.162,
7520,2024-10-04T11:07:41.053Z,7,white,f8b4,rnbqk1nr/1ppp1ppp/p7/4p3/1b5P/2P2N2/PP1PPPP1/RNBQKB1R w KQkq - 1 4,1.0,0.0,0.0,
7521,2024-10-04T11:15:11.160Z,8,black,h1h2,rnbqk1nr/1ppp1ppp/p7/4p3/1b5P/2P2N2/PP1PPPPR/RNBQKB2 b Qkq - 2 4,0.0,0.918,0.082,
7522,2024-10-04T11:22:41.253Z,9,white,a6a5,rnbqk1nr/1ppp1ppp/8/p3p3/1b5P/2P2N2/PP1PPPPR/RNBQKB2 w Qkq - 0 5,1.0,0.0,0.0,
7523,2024-10-04T11:30:11.322Z,10,black,c3b4,rnbqk1nr/1ppp1ppp/8/p3p3/1P5P/5N2/PP1PPPPR/RNBQKB2 b Qkq - 0 5,1.0,0.0,0.0,
7524,2024-10-04T11:37:41.429Z,11,white,b8a6,r1bqk1nr/1ppp1ppp/n7/p3p3/1P5P/5N2/PP1PPPPR/RNBQKB2 w Qkq - 1 6,1.0,0.0,0.0,
7525,2024-10-04T11:45:11.478Z,12,black,b1c3,r1bqk1nr/1ppp1ppp/n7/p3p3/1P5P/2N2N2/PP1PPPPR/R1BQKB2 b Qkq - 2 6,0.995,0.005,0.0,
