id,instant,player_pseudo,turn_id,move,accuracy,points
1571,2024-09-27 13:13:54.114539+00,Ludovic Instable,6194,e3c5,1,325
1572,2024-09-27 13:14:21.671606+00,Valerian Prédateur,6194,e1c1,0.86931384,283
1573,2024-09-27 13:14:21.687984+00,Delphinia Anxieuse,6194,e1d1,0.95066255,243
1574,2024-09-27 13:14:23.248864+00,Valerian Prédateur,6194,e1d1,0.95066255,205
1575,2024-09-27 13:15:38.149158+00,Lucius Orphelin,6194,b1a3,1,325
1576,2024-09-27 13:15:45.857853+00,Delphinia Anxieuse,6194,e3g5,0.970947,316
1577,2024-09-27 13:16:09.10783+00,Delphinia Anxieuse,6194,e1d1,0.95066255,205
1578,2024-09-27 13:16:47.864327+00,Lucius Orphelin,6194,e1d1,0.95066255,177
1579,2024-09-27 13:20:53.645342+00,Nathaniel Acharné,6195,d7e8,0.99686104,324
1580,2024-09-27 13:20:54.86597+00,Elowen Intraitable,6195,d7e8,0.99686104,255
1581,2024-09-27 13:20:58.471983+00,Valentin Nocturne,6195,d7e8,0.99686104,215
1582,2024-09-27 13:22:04.132146+00,Ysabeau Toxique,6195,d7e8,0.99686104,186
